no,post_url,akun,comment
1,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Nadyaa,gw kira mayat manusia anj😭🙏
2,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,eidajer🐦,Allah 😭
3,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Beautiespartner,"Udah dikafani, bukannya dikubur malah dibuang kesungaiii 😭😭😭"
4,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,MIE AYAM 🐔,"sumpah,pandwara menurut gwa stop aja
kalau di lanjutkan warga makin ngelunjak,
biar kalau gak di bersihin kena resiko kampung sendiri"
5,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,yissa,"dikira pandawara babu kali ya,yang komen tolong di jaga lagi ketikannya"
6,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Milddah,"guys tugas bersih2 itu bukan tugas pandawara saja, yg seenaknya kalian menyalahkan kinerja mereka, untung2 loh ada mereka, remaja aktif untuk mengajar kan kita menjaga lingkungan...
plis stop nyuruh-nyuruh atau menyalahkan kinerja mereka..."
7,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,kabuthangat,bisa bisanya buang hewan di sungai…….
8,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tian.afrndk,"dah la bng, capek² bersihin blm sebulan dah tercemar lgi tu sungai, pemerintah ni jg gda upaya apapun jir, minimal kasih edukasi la ke masyarakat"
9,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,★,"pd kenapa sih komen"" nya"
10,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Y-ART 🎨,"Percayalah yang komen ""memancing emosi"" mereka bocah kebelet notif"
11,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Putriii,bangkai cicak aja baunya minta ampun apalagi bangkai anj😭🙏🏻
12,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Lely,pandawara kebaikannya sumpah masyaAllah banget😭😭
13,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ANGGA,hargai lah pandawara jadi kita jgn buang sampah sembarangan
14,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Yustika Sw🌸,pas muntah knp di vidio😭
15,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,mb Zalo,"komennya sakit banget.
keep healthy pandawara❤️❤️"
16,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,upsss,hal yg bikin gua sedih jadi warga Indonesia tuh waktu buka komentar disetiap vid pandawara🥺🥺
17,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,MARSZEL UCHIHA,kok komen nya pada begini ya🙂
18,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,missmatcha,"sejak kapan membersihkan sungai jadi tugas pandawara😭
miris banget sdm negara ini"
19,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,PESAN KHUSUS,pandawara tolong bersihkan sungai kami
20,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,mikah&labqi,anggota Pandawara amalnya luar biasa banget..
21,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,eidajer🐦,Allah 😭
22,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Beautiespartner,"Udah dikafani, bukannya dikubur malah dibuang kesungaiii 😭😭😭"
23,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,MIE AYAM 🐔,"sumpah,pandwara menurut gwa stop aja
kalau di lanjutkan warga makin ngelunjak,
biar kalau gak di bersihin kena resiko kampung sendiri"
24,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,yissa,"dikira pandawara babu kali ya,yang komen tolong di jaga lagi ketikannya"
25,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Milddah,"guys tugas bersih2 itu bukan tugas pandawara saja, yg seenaknya kalian menyalahkan kinerja mereka, untung2 loh ada mereka, remaja aktif untuk mengajar kan kita menjaga lingkungan...
plis stop nyuruh-nyuruh atau menyalahkan kinerja mereka..."
26,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,kabuthangat,bisa bisanya buang hewan di sungai…….
27,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tian.afrndk,"dah la bng, capek² bersihin blm sebulan dah tercemar lgi tu sungai, pemerintah ni jg gda upaya apapun jir, minimal kasih edukasi la ke masyarakat"
28,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,★,"pd kenapa sih komen"" nya"
29,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Y-ART 🎨,"Percayalah yang komen ""memancing emosi"" mereka bocah kebelet notif"
